City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,Palu,-0.8917,119.8707,74.44,95,98,2.95,ID,2022-11-08 20:14:07
213,Hastings,50.8552,0.5729,58.28,74,7,26.66,GB,2022-11-08 20:14:08
214,Bathsheba,13.2167,-59.5167,84.81,74,40,20.71,BB,2022-11-08 20:11:14
215,Adrar,20.5022,-10.0711,81.52,13,98,9.62,MR,2022-11-08 20:14:09
216,Prattville,32.464,-86.4597,85.62,51,40,10.36,US,2022-11-08 20:12:38
217,Waipawa,-41.4122,175.5153,57.2,67,1,7.85,NZ,2022-11-08 20:14:10
218,Esperance,-33.8667,121.9,58.26,78,100,8.75,AU,2022-11-08 20:14:10
219,Deming,32.2687,-107.7586,75.09,15,0,5.75,US,2022-11-08 20:14:10
220,Marawi,7.9986,124.2928,69.06,93,70,2.89,PH,2022-11-08 20:14:11
221,Brandon,27.9378,-82.2859,83.93,78,40,9.22,US,2022-11-08 20:12:01
222,Abbeville,50.1,1.8333,57.25,74,73,17.83,FR,2022-11-08 20:14:12
223,Rawson,-43.3002,-65.1023,76.93,33,97,2.1,AR,2022-11-08 20:11:16
224,Butaritari,3.0707,172.7902,80.49,74,97,10.02,KI,2022-11-08 20:15:12
225,Muros,42.7762,-9.0603,60.1,87,100,18.07,ES,2022-11-08 20:15:13
226,Arbuzynka,47.9097,31.3196,43.43,59,14,2.53,UA,2022-11-08 20:15:13
227,Barabai,-2.5833,115.3833,73.76,97,100,1.28,ID,2022-11-08 20:15:13
228,Jasper,37.2001,-94.3502,75.24,76,100,5.75,US,2022-11-08 20:15:14
229,Bucerias,20.75,-105.3333,83.98,74,0,9.22,MX,2022-11-08 20:12:07
230,Gat,31.61,34.7642,65.39,72,40,1.9,IL,2022-11-08 20:15:14
231,Los Llanos De Aridane,28.6585,-17.9182,67.75,79,20,4.61,ES,2022-11-08 20:12:18
232,Kjollefjord,70.9457,27.3465,35.65,100,75,3.44,NO,2022-11-08 20:15:15
233,Souillac,-20.5167,57.5167,73.78,78,40,8.05,MU,2022-11-08 20:15:15
